[*] {'name': 'libLLVM.so', 'base': '0xb5217000', 'size': 15192064, 'path': '/system/lib/libLLVM.so'}
[*] {'name': 'libRScpp.so', 'base': '0xb51eb000', 'size': 180224, 'path': '/system/lib/libRScpp.so'}
[*] {'name': 'libdvm.so', 'base': '0xb4c80000', 'size': 5541888, 'path': '/system/lib/libdvm.so'}
[*] {'name': 'libjavacore.so', 'base': '0x8632d000', 'size': 421888, 'path': '/system/lib/libjavacore.so'}
[*] {'name': 'libjavacrypto.so', 'base': '0x84ddd000', 'size': 139264, 'path': '/system/lib/libjavacrypto.so'}
[*] {'name': 'libdrmframework_jni.so', 'base': '0x84563000', 'size': 57344, 'path': '/system/lib/libdrmframework_jni.so'}
[*] {'name': 'libdrmframework.so', 'base': '0x8453b000', 'size': 163840, 'path': '/system/lib/libdrmframework.so'}
[*] {'name': 'libmedia_jni.so', 'base': '0x844b9000', 'size': 409600, 'path': '/system/lib/libmedia_jni.so'}
[*] {'name': 'libstagefright.so', 'base': '0x84301000', 'size': 1802240, 'path': '/system/lib/libstagefright.so'}
[*] {'name': 'libconnectivitymanager.so', 'base': '0x86b4e000', 'size': 16384, 'path': '/system/lib/libconnectivitymanager.so'}
[*] {'name': 'libstagefright_omx.so', 'base': '0x842d6000', 'size': 176128, 'path': '/system/lib/libstagefright_omx.so'}
[*] {'name': 'libstagefright_yuv.so', 'base': '0x86b49000', 'size': 20480, 'path': '/system/lib/libstagefright_yuv.so'}
[*] {'name': 'libvorbisidec.so', 'base': '0x842ac000', 'size': 172032, 'path': '/system/lib/libvorbisidec.so'}
[*] {'name': 'libpowermanager.so', 'base': '0x865c8000', 'size': 24576, 'path': '/system/lib/libpowermanager.so'}
[*] {'name': 'libstagefright_enc_common.so', 'base': '0x865c5000', 'size': 12288, 'path': '/system/lib/libstagefright_enc_common.so'}
[*] {'name': 'libstagefright_avc_common.so', 'base': '0x86446000', 'size': 49152, 'path': '/system/lib/libstagefright_avc_common.so'}
[*] {'name': 'libmtp.so', 'base': '0x84288000', 'size': 147456, 'path': '/system/lib/libmtp.so'}
[*] {'name': 'libexif.so', 'base': '0x84274000', 'size': 81920, 'path': '/system/lib/libexif.so'}
[*] {'name': 'libstagefright_amrnb_common.so', 'base': '0x84261000', 'size': 77824, 'path': '/system/lib/libstagefright_amrnb_common.so'}
[*] {'name': 'libexif_jni.so', 'base': '0x865be000', 'size': 28672, 'path': '/system/lib/libexif_jni.so'}
[*] {'name': 'libFFmpegExtractor.so', 'base': '0x84251000', 'size': 65536, 'path': '/system/lib/libFFmpegExtractor.so'}
[*] {'name': 'libavcodec.so', 'base': '0x831f3000', 'size': 17162240, 'path': '/system/lib/libavcodec.so'}
[*] {'name': 'libavutil.so', 'base': '0x83184000', 'size': 454656, 'path': '/system/lib/libavutil.so'}
